evID,heatFlow,crustalThick,mantleThick,elevation,strainRate,nAftershocks
8871,0.083579102481041,25411.1819375962,71576.6358119162,-2064.21803196724,263.371366286245,0
8872,0.0765672849037615,24708.0542070597,77226.0059980022,-1611.64122947057,262.832603688161,1
8873,0.0500179489711326,14300.6063798982,133865.660899637,-6901.76712145864,58.8226799477818,-1
8874,0.0891873258341399,30386.1718410596,61231.9537419195,27.158220656395,76.693106142752,0
8875,0.0500739856652743,12447.5037449494,126852.851121111,-6572.24031777922,14.8937287143702,-1
8876,0.0531804751695305,13061.8447983035,116512.835388022,-7592.63573138932,357.497318369933,0
8877,0.0505827158637421,15356.7875190305,137160.50231994,-6932.62738629138,395.106378897046,1
8878,0.0817515062952918,25663.8570980319,71868.3787133453,-1789.80672011777,165.157886140048,1
8879,0.050021646002106,14672.0774231527,131946.826533625,-6943.04087651011,62.1477934813526,-1
8880,0.0660291681972777,21084.2084282426,101219.461990588,-3787.63480796363,303.704205992818,0
8881,0.0771776349850608,26870.3035519536,79988.8619043219,-1314.09539300373,250.877691026883,0
8882,0.0831773395759512,26159.1267909845,68905.2376502127,-1575.56396500644,161.206878764675,0
8883,0.105969263818088,24625.0688332356,42459.8608560252,-768.83381791603,125.294948397488,0
8884,0.0912452171834813,28472.7924395402,55271.5591040601,-916.935432939414,207.581562655864,2
8885,0.0610214595710459,18534.0270974312,114495.069621542,-4824.40886414003,421.820577946129,0
8886,0.0524706259179245,9403.13083816985,109224.137627683,-7779.59793487104,237.134518761243,0
8887,0.0605298015056382,16394.7786973479,119393.685616956,-5300.58213791061,387.181546305269,2
8888,0.0612319415859093,16566.8254427386,117999.832403107,-5193.83662016558,391.841997026396,0
8889,0.0793388717404842,27370.2136959718,40362.2925463938,-364.282175976101,194.845587977681,0
8890,0.0841351474584992,27433.1604530409,60863.9129059851,-332.750738910769,224.522509438017,1
8891,0.0698518590714104,17572.0378777327,40629.5179907803,-4527.45785951638,911.037880277239,0
8892,0.0692071008180172,25906.8407986766,102620.155983119,-2817.78010852786,392.66215170116,0
8893,0.0833448112851361,27163.1583520312,62494.3150386217,-478.969429661043,196.078665316562,1
8894,0.0529095125764447,13557.6262120659,117760.428545007,-7724.30630356036,386.925343691173,1
8895,0.0699420006886935,22827.8942396701,91598.2493910971,-3029.7161587176,378.308350518246,0
8896,0.053821720126894,13762.1979261267,117114.684989978,-7433.36009919692,384.794035677589,1
8897,0.0534128353381467,14285.8159766634,117557.588583639,-7566.61085428158,395.881434352403,0
